                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1596,                 2.2075,                 1.1174,                0.46254,                0.57404,                0.49693,                0.37762,                0.90738,                 1.4882,                 1.0355,             5.6069e-05,             5.6069e-05,             5.6069e-05
                     65,                  1.174,                 2.2566,                 1.1236,                0.42203,                0.60409,                 0.4978,                0.37818,                0.90323,                 1.4765,                 1.0311,             5.4594e-05,             5.4594e-05,             5.4594e-05
                     66,                 1.1957,                 2.2054,                 1.1294,                0.43935,                0.60804,                 0.4979,                0.37837,                0.91434,                 1.5083,                 1.0388,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     67,                 1.1502,                 2.1393,                 1.1148,                0.44447,                0.57836,                0.49886,                0.37981,                0.89985,                 1.5029,                 1.0272,             5.1643e-05,             5.1643e-05,             5.1643e-05
                     68,                 1.1819,                 2.2318,                 1.1187,                0.45103,                0.58271,                0.50441,                 0.3834,                0.90671,                 1.4797,                 1.0301,             5.0168e-05,             5.0168e-05,             5.0168e-05
                     69,                 1.1744,                 2.2192,                 1.1249,                0.44951,                 0.5918,                0.50427,                0.38453,                0.89957,                 1.4702,                  1.028,             4.8693e-05,             4.8693e-05,             4.8693e-05
                     70,                 1.1518,                 2.1762,                  1.103,                0.45855,                0.57895,                0.50198,                0.38154,                  0.898,                 1.4793,                 1.0254,             4.7218e-05,             4.7218e-05,             4.7218e-05
                     71,                  1.148,                 2.2589,                 1.1246,                0.41712,                0.59833,                0.50416,                0.38383,                0.90188,                 1.4522,                 1.0308,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     72,                 1.1712,                 2.2056,                 1.1284,                 0.4582,                0.57957,                0.50238,                0.38386,                0.89451,                 1.4881,                  1.024,             4.4268e-05,             4.4268e-05,             4.4268e-05
                     73,                 1.1735,                  2.201,                 1.1381,                0.41898,                0.60789,                0.50536,                0.38523,                0.90259,                 1.4635,                  1.034,             4.2793e-05,             4.2793e-05,             4.2793e-05
                     74,                 1.1774,                 2.1776,                 1.1349,                0.47487,                0.59219,                0.50831,                0.38672,                 0.9118,                 1.4339,                 1.0387,             4.1318e-05,             4.1318e-05,             4.1318e-05
                     75,                 1.1488,                 2.1543,                 1.1232,                0.43537,                0.61647,                0.51386,                0.39316,                0.89193,                 1.4347,                  1.023,             3.9843e-05,             3.9843e-05,             3.9843e-05
                     76,                 1.1299,                 2.1352,                 1.1096,                0.46233,                 0.6031,                0.50768,                0.38588,                 0.9001,                 1.4335,                 1.0297,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     77,                 1.1615,                 2.1847,                 1.1425,                0.48134,                0.58321,                  0.508,                0.38623,                0.90011,                 1.4966,                 1.0324,             3.6892e-05,             3.6892e-05,             3.6892e-05
                     78,                 1.1437,                 2.1368,                 1.1077,                   0.45,                0.60438,                0.50902,                0.38697,                0.89515,                 1.4729,                 1.0264,             3.5417e-05,             3.5417e-05,             3.5417e-05
                     79,                  1.131,                  2.185,                 1.0957,                0.46407,                0.62103,                0.51489,                0.39315,                 0.8973,                 1.4539,                 1.0317,             3.3942e-05,             3.3942e-05,             3.3942e-05
                     80,                 1.1671,                 2.1851,                 1.1253,                0.47039,                0.57854,                0.50983,                0.38862,                0.89842,                 1.4273,                 1.0347,             3.2467e-05,             3.2467e-05,             3.2467e-05
                     81,                 1.1491,                 2.1637,                 1.1167,                0.45949,                0.61546,                 0.5147,                0.39458,                 0.8882,                 1.4203,                 1.0241,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     82,                 1.1566,                 2.1243,                 1.1062,                0.46692,                0.61897,                0.51363,                0.39373,                0.88904,                 1.4684,                 1.0262,             2.9517e-05,             2.9517e-05,             2.9517e-05
                     83,                 1.1493,                 2.1544,                  1.112,                0.44767,                0.61997,                0.51212,                0.39213,                0.89068,                 1.4675,                 1.0254,             2.8042e-05,             2.8042e-05,             2.8042e-05
                     84,                 1.1292,                 2.1628,                 1.1141,                 0.4549,                0.61189,                0.51387,                 0.3926,                0.88548,                 1.4823,                  1.018,             2.6567e-05,             2.6567e-05,             2.6567e-05
                     85,                 1.1156,                 2.1253,                 1.0994,                0.46805,                0.62004,                0.51496,                0.39381,                0.88795,                 1.4678,                 1.0219,             2.5092e-05,             2.5092e-05,             2.5092e-05
                     86,                 1.1274,                 2.1406,                 1.1149,                0.48314,                0.60794,                0.51237,                 0.3906,                0.90242,                 1.4559,                 1.0356,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     87,                 1.1795,                 2.1702,                 1.1236,                0.46178,                0.61313,                0.51644,                  0.396,                0.89024,                 1.4675,                 1.0248,             2.2141e-05,             2.2141e-05,             2.2141e-05
                     88,                 1.1726,                 2.1568,                 1.1331,                0.46633,                0.62109,                0.51636,                0.39511,                0.88742,                 1.4767,                 1.0195,             2.0666e-05,             2.0666e-05,             2.0666e-05
                     89,                 1.1305,                 2.1818,                 1.1015,                0.46731,                0.60621,                0.51459,                0.39348,                0.89157,                 1.4711,                 1.0252,             1.9191e-05,             1.9191e-05,             1.9191e-05
                     90,                 1.1544,                 2.1126,                  1.114,                0.46083,                0.62459,                0.51809,                0.39671,                0.89567,                  1.472,                 1.0286,             1.7716e-05,             1.7716e-05,             1.7716e-05
                     91,                 1.0404,                 1.9479,                 1.0879,                0.43593,                0.57966,                 0.4903,                0.36919,                   0.94,                 1.6956,                  1.044,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     92,                 1.0637,                 1.8902,                 1.0968,                0.43108,                 0.5818,                0.49159,                0.37163,                0.91586,                 1.5844,                 1.0298,             1.4766e-05,             1.4766e-05,             1.4766e-05
                     93,                  1.046,                 1.8811,                 1.0829,                0.44628,                0.57704,                0.49679,                0.37572,                0.90674,                 1.5584,                 1.0226,             1.3291e-05,             1.3291e-05,             1.3291e-05
                     94,                 1.0457,                 1.8777,                 1.0908,                0.44731,                0.56069,                0.49423,                0.37324,                0.93199,                 1.6086,                 1.0399,             1.1816e-05,             1.1816e-05,             1.1816e-05
                     95,                 1.0154,                 1.8355,                 1.0837,                0.47472,                0.57179,                0.49886,                0.37644,                0.92301,                 1.5898,                 1.0299,             1.0341e-05,             1.0341e-05,             1.0341e-05
                     96,                 1.0311,                  1.851,                 1.0751,                0.45388,                0.58792,                0.50304,                0.38111,                0.91042,                 1.5712,                 1.0256,             8.8655e-06,             8.8655e-06,             8.8655e-06
                     97,                 1.0297,                 1.8568,                 1.0801,                0.46119,                0.57125,                0.50238,                0.38068,                0.91967,                 1.5644,                 1.0323,             7.3904e-06,             7.3904e-06,             7.3904e-06
                     98,                 1.0403,                 1.8888,                 1.1013,                0.45042,                0.57388,                0.50108,                0.37878,                 0.9154,                 1.5523,                 1.0286,             5.9153e-06,             5.9153e-06,             5.9153e-06
                     99,                 1.0393,                 1.8954,                  1.088,                0.44726,                0.59173,                0.50341,                0.38229,                  0.914,                 1.5285,                 1.0313,             4.4402e-06,             4.4402e-06,             4.4402e-06
                    100,                 1.0298,                 1.8373,                 1.0918,                0.48233,                0.54914,                0.50073,                0.37883,                0.91573,                 1.5454,                  1.029,             2.9651e-06,             2.9651e-06,             2.9651e-06
